01.010 176P 22M 25G 88GG 0EX
01.012 6P 12M 10G 4GG 0EX
01.015 8P 1M 1G 2GG 0EX
01.016 0P 20M 0G 0GG 0EX
01.019 2P 14M 14G 5GG 0EX
01.020 183P 53M 46G 39GG 23EX
01.022 4P 2M 1G 2GG 0EX
01.027 31P 5M 3G 14GG 0EX
01.028 12P 0M 0G 5GG 0EX
01.032 6P 1M 0G 0GG 0EX
01.033 29P 13M 2G 6GG 0EX
01.034 14P 39M 10G 0GG 0EX
01.036 43P 14M 1G 0GG 0EX
01.040 146P 122M 106G 66GG 24EX
01.042 0P 2M 0G 0GG 0EX
01.050 143P 3M 9G 61GG 0EX
01.051 13P 5M 48G 29GG 0EX
01.054 0P 0M 0G 6GG 0EX
01.054.2 1P 0M 0G 0GG 0EX
01.070 133P 175M 224G 310GG 98EX
01.070.1 162P 41M 29G 31GG 19EX
01.070.2 55P 31M 20G 44GG 37EX
01.079.2 12P 12M 8G 0GG 0EX
01.082 7P 7M 18G 20GG 0EX
01.085 0P 0M 0G 9GG 0EX
01.090 213P 153M 230G 388GG 212EX
01.090.1 219P 173M 32G 55GG 212EX
01.090.2 58P 11M 5G 4GG 58EX
01.090.3 94P 28M 10G 110GG 145EX
01.094.3 2P 0M 0G 0GG 0EX
01.117 3P 4M 0G 1GG 0EX
01.118 1P 1M 0G 0GG 0EX
01.120 51P 23M 168G 191GG 0EX
01.122 2P 6M 5G 4GG 0EX
01.124 0P 4M 0G 1GG 0EX
01.124.1 5P 5M 6G 5GG 0EX
01.128 1P 4M 0G 3GG 0EX
01.170 2P 0M 0G 0GG 0EX
01.170.1 85P 61M 69G 64GG 99EX
01.170.2 2P 0M 1G 0GG 0EX
01.188 13P 25M 7G 13GG 0EX
01.188.3 22P 34M 34G 31GG 0EX
01.189 37P 21M 4G 40GG 0EX
01.190.1 37P 39M 12G 20GG 20EX
01.190.2 105P 64M 20G 84GG 122EX
01.190.3 0P 4M 8G 52GG 71EX
01.200 4P 1M 3G 3GG 0EX
01.202 3P 0M 1G 1GG 0EX
01.204 64P 9M 19G 7GG 0EX
01.222 25P 7M 30G 32GG 65EX
01.241 31P 25M 25G 22GG 30EX
01.242 27P 3M 5G 24GG 0EX
01.251 51P 62M 42G 44GG 45EX
01.252 25P 33M 19G 27GG 0EX
01.500 40P 58M 73G 212GG 183EX
01.504 4P 1M 1G 21GG 0EX
01.506 3P 0M 0G 0GG 0EX
01.530 44P 8M 8G 59GG 85EX
01.531 32P 25M 26G 18GG 0EX
01.590 106P 120M 171G 147GG 0EX
01.600 1P 0M 0G 0GG 0EX
01.601 12P 8M 4G 0GG 0EX
01.602 8P 6M 0G 0GG 0EX
01.604 33P 45M 36G 34GG 0EX
01.605 8P 10M 14G 1GG 0EX
01.607 1P 1M 0G 1GG 0EX
01.610 40P 56M 42G 37GG 0EX
01.700 0P 1M 0G 3GG 0EX
01.703 20P 54M 66G 24GG 0EX
01.800 0P 1M 0G 0GG 0EX
01.904 0P 0M 0G 0GG 0EX
01.911 0P 0M 0G 0GG 0EX
02.070 7P 22M 1G 11GG 0EX
02.090 142P 27M 27G 73GG 84EX
02.090.0.7 23P 7M 1G 9GG 0EX
02.090.1 47P 46M 1G 24GG 65EX
02.090.3 37P 21M 17G 19GG 0EX
02.092 0P 0M 1G 0GG 0EX
02.095 54P 0M 0G 21GG 6EX
02.190 1P 1M 0G 0GG 5EX
02.190.3 4P 2M 0G 1GG 5EX
02.210 138P 23M 1G 4GG 24EX
02.214 256P 109M 78G 39GG 122EX
02.214.0.7 12P 10M 8G 0GG 0EX
02.215 62P 9M 0G 2GG 0EX
02.500 96P 104M 42G 89GG 50EX
02.501 21P 6M 3G 15GG 0EX
02.504 4P 0M 0G 0GG 0EX
02.590 70P 123M 33G 30GG 0EX
02.600 2P 0M 0G 0GG 0EX
02.601 2P 5M 2G 0GG 0EX
02.610 1P 0M 0G 0GG 0EX
02.701 14P 21M 16G 24GG 0EX
03.010 24P 5M 4G 19GG 0EX
03.040 53P 34M 35G 37GG 0EX
03.070 102P 129M 45G 34GG 38EX
03.090 289P 254M 192G 33GG 7EX
